condition,category,system,severity,icd_group,common_names
Hypertension,Cardiovascular Diseases,Circulatory System,Chronic,I10-I15,"High Blood Pressure;HTN;Arterial Hypertension"
Type 2 Diabetes,Endocrine Disorders,Endocrine System,Chronic,E11,"Diabetes Mellitus Type 2;Adult-Onset Diabetes;T2DM"
Type 1 Diabetes,Endocrine Disorders,Endocrine System,Chronic,E10,"Juvenile Diabetes;Insulin-Dependent Diabetes;T1DM"
Coronary Artery Disease,Cardiovascular Diseases,Circulatory System,Chronic,I25,"CAD;Ischemic Heart Disease;Coronary Heart Disease"
Myocardial Infarction,Cardiovascular Diseases,Circulatory System,Acute,I21,"Heart Attack;MI;Acute MI"
Congestive Heart Failure,Cardiovascular Diseases,Circulatory System,Chronic,I50,"CHF;Heart Failure;Cardiac Failure"
Atrial Fibrillation,Cardiovascular Diseases,Circulatory System,Chronic,I48,"AFib;AF;Irregular Heartbeat"
Stroke,Neurological Disorders,Nervous System,Acute,I60-I69,"CVA;Cerebrovascular Accident;Brain Attack"
Chronic Kidney Disease,Renal Disorders,Urinary System,Chronic,N18,"CKD;Chronic Renal Disease;Kidney Failure"
Asthma,Respiratory Diseases,Respiratory System,Chronic,J45,"Bronchial Asthma;Reactive Airway Disease"
COPD,Respiratory Diseases,Respiratory System,Chronic,J44,"Chronic Obstructive Pulmonary Disease;Emphysema;Chronic Bronchitis"
Pneumonia,Respiratory Diseases,Respiratory System,Acute,J18,"Lung Infection;Chest Infection;Pneumonitis"
Influenza,Infectious Diseases,Respiratory System,Acute,J09-J11,"Flu;Seasonal Flu;Grippe"
COVID-19,Infectious Diseases,Multiple Systems,Acute,U07.1,"Coronavirus;SARS-CoV-2;Corona"
Tuberculosis,Infectious Diseases,Respiratory System,Chronic,A15-A19,"TB;Consumption;White Plague"
HIV/AIDS,Infectious Diseases,Immune System,Chronic,B20-B24,"Human Immunodeficiency Virus;Acquired Immunodeficiency Syndrome"
Hepatitis B,Infectious Diseases,Digestive System,Chronic,B16,"Hep B;HBV;Serum Hepatitis"
Hepatitis C,Infectious Diseases,Digestive System,Chronic,B17.1,"Hep C;HCV;Post-transfusion Hepatitis"
Cirrhosis,Digestive Diseases,Digestive System,Chronic,K74,"Liver Cirrhosis;End-stage Liver Disease;Hepatic Cirrhosis"
Gastroesophageal Reflux,Digestive Diseases,Digestive System,Chronic,K21,"GERD;Acid Reflux;Heartburn"
Peptic Ulcer,Digestive Diseases,Digestive System,Acute,K25-K27,"Stomach Ulcer;Duodenal Ulcer;PUD"
Crohn's Disease,Digestive Diseases,Digestive System,Chronic,K50,"Regional Enteritis;Inflammatory Bowel Disease;IBD"
Ulcerative Colitis,Digestive Diseases,Digestive System,Chronic,K51,"UC;Colitis;Inflammatory Bowel Disease"
Irritable Bowel Syndrome,Digestive Diseases,Digestive System,Chronic,K58,"IBS;Spastic Colon;Nervous Colon"
Celiac Disease,Digestive Diseases,Digestive System,Chronic,K90.0,"Gluten Intolerance;Celiac Sprue;Gluten-sensitive Enteropathy"
Alzheimer's Disease,Neurological Disorders,Nervous System,Chronic,G30,"AD;Senile Dementia;Alzheimer's"
Parkinson's Disease,Neurological Disorders,Nervous System,Chronic,G20,"PD;Parkinsonism;Shaking Palsy"
Multiple Sclerosis,Neurological Disorders,Nervous System,Chronic,G35,"MS;Disseminated Sclerosis;Demyelinating Disease"
Epilepsy,Neurological Disorders,Nervous System,Chronic,G40,"Seizure Disorder;Fits;Convulsions"
Migraine,Neurological Disorders,Nervous System,Chronic,G43,"Migraine Headache;Sick Headache;Vascular Headache"
Depression,Mental Health Disorders,Mental Health,Chronic,F32-F33,"Major Depression;Clinical Depression;MDD"
Anxiety Disorder,Mental Health Disorders,Mental Health,Chronic,F41,"GAD;Generalized Anxiety;Panic Disorder"
Bipolar Disorder,Mental Health Disorders,Mental Health,Chronic,F31,"Manic Depression;Bipolar;Mood Disorder"
Schizophrenia,Mental Health Disorders,Mental Health,Chronic,F20,"Psychosis;Schizophrenic Disorder"
