job_title,category,department,industry,seniority_level,aliases
Software Engineer,Engineering,Technology,Information Technology,Mid-level,"Developer;Programmer;Software Developer"
Senior Software Engineer,Engineering,Technology,Information Technology,Senior,"Sr Developer;Senior Developer;Lead Developer"
Junior Software Engineer,Engineering,Technology,Information Technology,Junior,"Jr Developer;Junior Developer;Entry Level Developer"
Data Scientist,Data & Analytics,Technology,Information Technology,Mid-level,"Data Analyst;ML Engineer"
Senior Data Scientist,Data & Analytics,Technology,Information Technology,Senior,"Sr Data Scientist;Lead Data Scientist"
Data Analyst,Data & Analytics,Technology,Information Technology,Mid-level,"Business Analyst;Analytics Specialist"
Data Engineer,Data & Analytics,Technology,Information Technology,Mid-level,"ETL Developer;Data Pipeline Engineer"
Machine Learning Engineer,Data & Analytics,Technology,Information Technology,Mid-level,"ML Engineer;AI Engineer"
DevOps Engineer,Engineering,Technology,Information Technology,Mid-level,"Site Reliability Engineer;SRE"
Senior DevOps Engineer,Engineering,Technology,Information Technology,Senior,"Sr DevOps;Lead DevOps"
Cloud Architect,Engineering,Technology,Information Technology,Senior,"Solutions Architect;Cloud Engineer"
Full Stack Developer,Engineering,Technology,Information Technology,Mid-level,"Full Stack Engineer;Fullstack Developer"
Frontend Developer,Engineering,Technology,Information Technology,Mid-level,"UI Developer;Frontend Engineer"
Backend Developer,Engineering,Technology,Information Technology,Mid-level,"Server Developer;Backend Engineer"
Mobile Developer,Engineering,Technology,Information Technology,Mid-level,"App Developer;Mobile Engineer"
iOS Developer,Engineering,Technology,Information Technology,Mid-level,"iPhone Developer;Apple Developer"
Android Developer,Engineering,Technology,Information Technology,Mid-level,"Android Engineer;Mobile Android Dev"
QA Engineer,Quality Assurance,Technology,Information Technology,Mid-level,"Test Engineer;Quality Engineer"
QA Automation Engineer,Quality Assurance,Technology,Information Technology,Mid-level,"Automation Tester;SDET"
Security Engineer,Security,Technology,Information Technology,Mid-level,"Cybersecurity Engineer;InfoSec Engineer"
Database Administrator,Data & Analytics,Technology,Information Technology,Mid-level,"DBA;Database Engineer"
Network Engineer,Infrastructure,Technology,Information Technology,Mid-level,"Network Administrator;Network Specialist"
System Administrator,Infrastructure,Technology,Information Technology,Mid-level,"Sysadmin;System Engineer"
Technical Lead,Engineering,Technology,Information Technology,Senior,"Tech Lead;Lead Engineer"
Engineering Manager,Management,Technology,Information Technology,Senior,"Dev Manager;Software Manager"
Product Manager,Product,Technology,Information Technology,Mid-level,"PM;Product Owner"
Project Manager,Management,Technology,Information Technology,Mid-level,"PM;IT Project Manager"
Scrum Master,Management,Technology,Information Technology,Mid-level,"Agile Coach;Agile Master"
Business Analyst,Business,Technology,Information Technology,Mid-level,"BA;Systems Analyst"
UI/UX Designer,Design,Technology,Information Technology,Mid-level,"Product Designer;User Experience Designer"
Technical Writer,Documentation,Technology,Information Technology,Mid-level,"Documentation Specialist;Tech Writer"
Solutions Engineer,Engineering,Technology,Information Technology,Mid-level,"Solutions Architect;Pre-sales Engineer"
Site Reliability Engineer,Engineering,Technology,Information Technology,Mid-level,"SRE;DevOps Engineer"
Platform Engineer,Engineering,Technology,Information Technology,Mid-level,"Infrastructure Engineer;Platform Developer"
Research Engineer,Research,Technology,Information Technology,Mid-level,"R&D Engineer;Research Developer"
Principal Engineer,Engineering,Technology,Information Technology,Expert,"Staff Engineer;Distinguished Engineer"
Architect,Engineering,Technology,Information Technology,Senior,"Software Architect;System Architect"
CTO,Executive,Technology,Information Technology,Executive,"Chief Technology Officer;Tech Executive"
VP Engineering,Executive,Technology,Information Technology,Executive,"Vice President Engineering;Engineering VP"
Director of Engineering,Management,Technology,Information Technology,Senior,"Engineering Director;Head of Engineering"
IT Support Specialist,Support,Technology,Information Technology,Junior,"Help Desk;IT Support"
IT Manager,Management,Technology,Information Technology,Senior,"Information Technology Manager;IT Lead"
Systems Analyst,Business,Technology,Information Technology,Mid-level,"Business Systems Analyst;IT Analyst"
Web Developer,Engineering,Technology,Information Technology,Mid-level,"Web Engineer;Website Developer"
Game Developer,Engineering,Technology,Information Technology,Mid-level,"Game Programmer;Game Engineer"
Blockchain Developer,Engineering,Technology,Information Technology,Mid-level,"Crypto Developer;DLT Developer"
AI Researcher,Research,Technology,Information Technology,Senior,"Artificial Intelligence Researcher;ML Researcher"
Computer Vision Engineer,Engineering,Technology,Information Technology,Mid-level,"CV Engineer;Vision Engineer"
NLP Engineer,Engineering,Technology,Information Technology,Mid-level,"Natural Language Processing Engineer;Text Analytics Engineer"
Embedded Software Engineer,Engineering,Technology,Information Technology,Mid-level,"Firmware Engineer;Embedded Developer"
Robotics Engineer,Engineering,Technology,Information Technology,Mid-level,"Robotics Developer;Automation Engineer"
AR/VR Developer,Engineering,Technology,Information Technology,Mid-level,"Augmented Reality Developer;Virtual Reality Engineer"
Kubernetes Engineer,Engineering,Technology,Information Technology,Mid-level,"K8s Engineer;Container Engineer"
React Developer,Engineering,Technology,Information Technology,Mid-level,"React.js Developer;Frontend React Engineer"
Python Developer,Engineering,Technology,Information Technology,Mid-level,"Python Engineer;Python Programmer"
Java Developer,Engineering,Technology,Information Technology,Mid-level,"Java Engineer;Java Programmer"
.NET Developer,Engineering,Technology,Information Technology,Mid-level,"C# Developer;.NET Engineer"
PHP Developer,Engineering,Technology,Information Technology,Mid-level,"PHP Engineer;PHP Programmer"
Ruby Developer,Engineering,Technology,Information Technology,Mid-level,"Ruby Engineer;Rails Developer"
Go Developer,Engineering,Technology,Information Technology,Mid-level,"Golang Developer;Go Engineer"
Scala Developer,Engineering,Technology,Information Technology,Mid-level,"Scala Engineer;Scala Programmer"
