bureau_row_id,gt_person_id,link_shared_id,bureau_internal_id,bureau_pull_ts,birth_year,sex,home_postal_fsa,home_province,bureau_score,inquiries_12m,inquiries_90d,tradelines_open,tradelines_revolving,tradelines_installment,tradelines_mortgage,credit_utilization_pct,max_utilization_12m_pct,credit_limit_total,balance_total,delinq_30d_12m,delinq_60d_12m,delinq_90d_12m,derogatory_count,bankruptcy_flag,months_since_bankruptcy,consumer_proposal_flag,addresses_count_24m,employers_count_24m,thin_file_flag,created_at,updated_at,source_system
1,932,faa9947d93ec33bc,0ee7b0d7eed44ec8,2025-02-16 17:14:19,1993,M,P7N,YT,805,2,0,3,4,1,1,0.0,36.07,17560.33,3721.29,0,0,0,0,False,,False,0,1,False,2025-01-21,2025-02-17,bureau_v1
2,5112,9a0fb89772f41179,a40b31e9c94c6e17,2025-02-25 14:26:34,1992,F,K1E,PE,636,3,1,3,2,1,1,13.2,56.6,20852.89,27129.43,0,0,1,0,False,,False,1,3,False,2025-01-29,2025-03-01,bureau_v1
3,2396,8401d2b6a061f53a,6d433ce3b1306a49,2025-05-13 16:42:28,1997,M,N2L,ON,793,1,1,1,3,1,0,52.79,111.74,13004.53,6752.33,2,0,0,0,False,,False,0,0,True,2025-04-19,2025-05-13,bureau_v1
4,224,3fab394cd2b8397c,a540ce276860f155,2025-01-04 18:36:51,1958,F,C6M,QC,580,1,0,2,3,1,0,45.82,99.7,57464.68,3349.07,0,0,0,1,False,,False,0,0,False,2024-12-23,2025-01-08,bureau_v1
5,2199,d4a8b57c84d9343a,ecc5fe5cdc536a3d,2025-07-01 16:31:58,1991,F,A6Y,BC,683,4,1,4,4,2,0,8.0,71.69,22658.77,7781.9,0,2,1,0,False,,False,1,1,False,2025-06-07,2025-07-02,bureau_v1
6,7611,,f2e07836e6eeb4e4,2025-07-29 17:27:21,1962,F,C1R,NB,682,1,0,8,6,3,0,0.0,51.99,36676.09,105697.52,1,1,0,1,False,,False,2,0,False,2025-07-17,2025-07-29,bureau_v1
7,1739,,887ab6e356bd9478,2025-06-15 13:28:17,1972,F,L4Y,SK,833,1,0,5,2,4,0,59.7,59.7,8458.51,17856.5,0,0,1,0,False,,False,1,0,False,2025-05-27,2025-06-17,bureau_v1
8,6469,,055f9e92e9cb606c,2025-02-10 11:44:57,1963,F,P3N,MB,818,4,3,8,8,0,0,49.41,49.41,89588.92,13970.23,3,0,0,0,False,,False,0,1,False,2025-01-31,2025-02-13,bureau_v1
9,8488,,21b0ea97479b1e35,2025-05-25 12:47:06,1988,F,E7C,NS,900,3,1,3,4,2,0,105.09,105.09,63878.45,104636.39,0,0,0,0,False,,False,2,0,False,2025-05-20,2025-05-28,bureau_v1
10,3556,f780fb3387d3fb64,e4907cbfc9a3e730,2025-04-06 19:36:51,1976,F,B8E,NL,625,2,2,4,2,0,2,32.41,46.6,34005.73,5138.11,0,0,0,1,False,,False,3,1,False,2025-03-22,2025-04-07,bureau_v1
11,5542,2ce112d4825a15e2,2b6ea02172b1520d,2025-05-26 17:29:08,1960,F,J7K,PE,686,2,0,4,1,3,0,62.75,64.74,55973.48,5421.06,3,0,0,0,False,,False,3,1,False,2025-05-20,2025-05-30,bureau_v1
12,4270,605178b6db1f63fd,6e56be8288d989cf,2025-04-08 12:55:17,1955,F,X6N,NL,877,1,1,2,2,2,1,35.44,59.18,50188.75,20720.37,1,0,0,0,True,23.0,False,1,0,False,2025-03-25,2025-04-11,bureau_v1
13,5284,b1fe9bc171e44c9f,dc817c2452db5488,2025-04-23 10:34:53,1969,F,Y6M,PE,900,2,1,7,6,3,0,55.23,87.65,57554.52,55996.02,0,0,1,0,False,,False,0,0,False,2025-04-18,2025-04-24,bureau_v1
14,7915,477ee325dcddf157,e7db9976ff7296dd,2025-02-16 12:05:53,1958,M,M9Y,QC,666,0,0,4,3,2,0,45.12,45.12,9630.96,18277.0,1,0,0,0,False,,False,5,0,False,2025-01-20,2025-02-16,bureau_v1
15,3770,ff67d15d5d90f4dc,17fb5f2440732a95,2025-05-19 10:22:44,1967,M,M3M,QC,592,1,1,6,4,2,1,2.19,80.64,22286.92,12112.94,0,0,0,0,False,,False,0,2,False,2025-04-28,2025-05-22,bureau_v1
16,5146,,cd123f9e89807541,2025-06-06 10:40:19,1945,F,P2G,NT,569,2,0,8,5,1,3,46.91,137.94,81979.13,15542.18,1,1,0,0,False,,False,1,2,False,2025-05-22,2025-06-09,bureau_v1
17,8517,42fd67721afda24c,0c798ccc0ac4f4bb,2025-08-03 15:42:07,1967,M,M2B,ON,529,2,0,4,3,2,0,57.65,132.37,54690.69,13681.48,0,0,0,0,False,,False,0,0,False,2025-07-20,2025-08-04,bureau_v1
