feedback_id,customer_id,feedback_type,category,channel,subject,description,submitted_date,resolution_status,resolution_date,assigned_to,priority,satisfaction_score,response_time_hours,created_at
PMLA-FB000000-SYN,PMLA-C001220-SYN,PRAISE,FRAUD,PHONE,RE: Praise - Case #56254,Synthetic feedback description for testing. Type: PRAISE. Category: LOAN_SERVICE.,2024-09-10,CLOSED_NO_ACTION,2024-10-10,Agent_137,LOW,,57,2026-01-10 21:04:43
PMLA-FB000001-SYN,PMLA-C001438-SYN,INQUIRY,ACCOUNT_SERVICE,EMAIL,RE: Inquiry - Case #86516,Synthetic feedback description for testing. Type: INQUIRY. Category: MOBILE_APP.,2024-07-15,DUPLICATE,,Agent_704,MEDIUM,,53,2026-01-10 21:04:43
PMLA-FB000002-SYN,PMLA-C000142-SYN,PRAISE,FEES_CHARGES,SOCIAL_MEDIA,RE: Praise - Case #24296,Synthetic feedback description for testing. Type: PRAISE. Category: FEES_CHARGES.,2024-03-04,RESOLVED,2024-03-18,Agent_363,HIGH,1,43,2026-01-10 21:04:43
PMLA-FB000003-SYN,PMLA-C000040-SYN,PRAISE,MOBILE_APP,BRANCH,RE: Praise - Case #26867,Synthetic feedback description for testing. Type: PRAISE. Category: ACCOUNT_SERVICE.,2024-01-02,RESOLVED,2024-01-31,Agent_842,MEDIUM,3,12,2026-01-10 21:04:43
PMLA-FB000004-SYN,PMLA-C000601-SYN,INQUIRY,ONLINE_BANKING,EMAIL,RE: Inquiry - Case #13758,Synthetic feedback description for testing. Type: INQUIRY. Category: OTHER.,2023-07-26,PENDING,,Agent_312,MEDIUM,,1,2026-01-10 21:04:43
PMLA-FB000005-SYN,PMLA-C000415-SYN,COMPLAINT,FRAUD,CHAT,RE: Complaint - Case #80610,Synthetic feedback description for testing. Type: COMPLAINT. Category: MOBILE_APP.,2023-01-11,ESCALATED,,Agent_202,LOW,,61,2026-01-10 21:04:43
PMLA-FB000006-SYN,PMLA-C000825-SYN,INQUIRY,OTHER,EMAIL,RE: Inquiry - Case #69066,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-09-12,CLOSED_NO_ACTION,2023-10-02,Agent_299,LOW,,57,2026-01-10 21:04:43
PMLA-FB000007-SYN,PMLA-C000404-SYN,INQUIRY,CARD_SERVICE,EMAIL,RE: Inquiry - Case #37547,Synthetic feedback description for testing. Type: INQUIRY. Category: OTHER.,2024-11-01,RESOLVED,2024-11-30,Agent_429,LOW,1,58,2026-01-10 21:04:43
PMLA-FB000008-SYN,PMLA-C001245-SYN,SUGGESTION,ONLINE_BANKING,MAIL,RE: Suggestion - Case #74426,Synthetic feedback description for testing. Type: SUGGESTION. Category: OTHER.,2023-01-20,PENDING,,Agent_122,MEDIUM,,6,2026-01-10 21:04:43
PMLA-FB000009-SYN,PMLA-C001448-SYN,PRAISE,OTHER,EMAIL,RE: Praise - Case #47407,Synthetic feedback description for testing. Type: PRAISE. Category: OTHER.,2023-12-10,RESOLVED,2023-12-24,Agent_583,MEDIUM,1,4,2026-01-10 21:04:43
PMLA-FB000010-SYN,PMLA-C000673-SYN,SUGGESTION,MOBILE_APP,PHONE,RE: Suggestion - Case #21916,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2023-12-08,RESOLVED,2023-12-28,Agent_436,MEDIUM,2,40,2026-01-10 21:04:43
PMLA-FB000011-SYN,PMLA-C001365-SYN,PRAISE,ACCOUNT_SERVICE,EMAIL,RE: Praise - Case #75886,Synthetic feedback description for testing. Type: PRAISE. Category: ONLINE_BANKING.,2023-06-08,RESOLVED,2023-06-17,Agent_576,HIGH,4,17,2026-01-10 21:04:43
PMLA-FB000012-SYN,PMLA-C000418-SYN,SUGGESTION,MOBILE_APP,BRANCH,RE: Suggestion - Case #57098,Synthetic feedback description for testing. Type: SUGGESTION. Category: ACCOUNT_SERVICE.,2024-01-05,RESOLVED,2024-02-02,Agent_673,LOW,2,30,2026-01-10 21:04:43
PMLA-FB000013-SYN,PMLA-C001334-SYN,COMPLAINT,MOBILE_APP,EMAIL,RE: Complaint - Case #80793,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2024-08-19,RESOLVED,2024-09-14,Agent_698,HIGH,1,34,2026-01-10 21:04:43
PMLA-FB000014-SYN,PMLA-C000677-SYN,INQUIRY,MOBILE_APP,SOCIAL_MEDIA,RE: Inquiry - Case #36350,Synthetic feedback description for testing. Type: INQUIRY. Category: CARD_SERVICE.,2024-07-28,RESOLVED,2024-08-01,Agent_398,MEDIUM,4,4,2026-01-10 21:04:43
PMLA-FB000015-SYN,PMLA-C000408-SYN,INQUIRY,BRANCH_SERVICE,MAIL,RE: Inquiry - Case #16307,Synthetic feedback description for testing. Type: INQUIRY. Category: MOBILE_APP.,2024-02-29,RESOLVED,2024-03-09,Agent_105,LOW,2,50,2026-01-10 21:04:43
PMLA-FB000016-SYN,PMLA-C000049-SYN,INQUIRY,FRAUD,BRANCH,RE: Inquiry - Case #51571,Synthetic feedback description for testing. Type: INQUIRY. Category: FRAUD.,2023-05-09,RESOLVED,2023-06-02,Agent_661,MEDIUM,3,61,2026-01-10 21:04:43
PMLA-FB000017-SYN,PMLA-C000183-SYN,SUGGESTION,FRAUD,BRANCH,RE: Suggestion - Case #55942,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2023-08-19,RESOLVED,2023-08-26,Agent_884,CRITICAL,1,21,2026-01-10 21:04:43
PMLA-FB000018-SYN,PMLA-C000980-SYN,SUGGESTION,ONLINE_BANKING,CHAT,RE: Suggestion - Case #47100,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2024-09-15,RESOLVED,2024-09-25,Agent_321,MEDIUM,2,70,2026-01-10 21:04:43
PMLA-FB000019-SYN,PMLA-C000775-SYN,PRAISE,OTHER,BRANCH,RE: Praise - Case #42588,Synthetic feedback description for testing. Type: PRAISE. Category: BRANCH_SERVICE.,2023-03-21,RESOLVED,2023-04-07,Agent_224,MEDIUM,1,66,2026-01-10 21:04:43
PMLA-FB000020-SYN,PMLA-C000251-SYN,SUGGESTION,BRANCH_SERVICE,BRANCH,RE: Suggestion - Case #17964,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2023-05-10,RESOLVED,2023-05-26,Agent_486,MEDIUM,1,41,2026-01-10 21:04:43
PMLA-FB000021-SYN,PMLA-C000294-SYN,INQUIRY,CARD_SERVICE,EMAIL,RE: Inquiry - Case #40844,Synthetic feedback description for testing. Type: INQUIRY. Category: ONLINE_BANKING.,2024-09-19,ESCALATED,,Agent_292,MEDIUM,,66,2026-01-10 21:04:43
PMLA-FB000022-SYN,PMLA-C000205-SYN,INQUIRY,FEES_CHARGES,CHAT,RE: Inquiry - Case #69452,Synthetic feedback description for testing. Type: INQUIRY. Category: FEES_CHARGES.,2023-10-21,DUPLICATE,,Agent_930,HIGH,,50,2026-01-10 21:04:43
PMLA-FB000023-SYN,PMLA-C001184-SYN,SUGGESTION,ACCOUNT_SERVICE,MAIL,RE: Suggestion - Case #68498,Synthetic feedback description for testing. Type: SUGGESTION. Category: OTHER.,2024-11-10,RESOLVED,2024-11-30,Agent_440,MEDIUM,2,23,2026-01-10 21:04:43
PMLA-FB000024-SYN,PMLA-C001366-SYN,SUGGESTION,CARD_SERVICE,EMAIL,RE: Suggestion - Case #95067,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2023-08-01,CLOSED_NO_ACTION,2023-08-25,Agent_814,LOW,,18,2026-01-10 21:04:43
PMLA-FB000025-SYN,PMLA-C000916-SYN,COMPLAINT,OTHER,PHONE,RE: Complaint - Case #29911,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-10-01,PENDING,,Agent_551,HIGH,,4,2026-01-10 21:04:43
PMLA-FB000026-SYN,PMLA-C000368-SYN,SUGGESTION,FEES_CHARGES,PHONE,RE: Suggestion - Case #40338,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2023-11-26,RESOLVED,2023-11-28,Agent_270,HIGH,1,13,2026-01-10 21:04:43
PMLA-FB000027-SYN,PMLA-C000939-SYN,SUGGESTION,ACCOUNT_SERVICE,MAIL,RE: Suggestion - Case #15122,Synthetic feedback description for testing. Type: SUGGESTION. Category: ACCOUNT_SERVICE.,2023-09-24,DUPLICATE,,Agent_317,MEDIUM,,40,2026-01-10 21:04:43
PMLA-FB000028-SYN,PMLA-C000678-SYN,SUGGESTION,LOAN_SERVICE,PHONE,RE: Suggestion - Case #80612,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-06-24,RESOLVED,2024-07-15,Agent_874,MEDIUM,4,34,2026-01-10 21:04:43
PMLA-FB000029-SYN,PMLA-C000193-SYN,INQUIRY,MOBILE_APP,PHONE,RE: Inquiry - Case #84273,Synthetic feedback description for testing. Type: INQUIRY. Category: ACCOUNT_SERVICE.,2024-01-16,ESCALATED,,Agent_370,MEDIUM,,31,2026-01-10 21:04:43
PMLA-FB000030-SYN,PMLA-C000225-SYN,DISPUTE,FEES_CHARGES,BRANCH,RE: Dispute - Case #19996,Synthetic feedback description for testing. Type: DISPUTE. Category: BRANCH_SERVICE.,2024-04-11,RESOLVED,2024-04-21,Agent_536,HIGH,4,10,2026-01-10 21:04:43
PMLA-FB000031-SYN,PMLA-C001323-SYN,COMPLAINT,FRAUD,MAIL,RE: Complaint - Case #14586,Synthetic feedback description for testing. Type: COMPLAINT. Category: LOAN_SERVICE.,2024-05-27,RESOLVED,2024-06-16,Agent_495,LOW,1,17,2026-01-10 21:04:43
PMLA-FB000032-SYN,PMLA-C000065-SYN,SUGGESTION,CARD_SERVICE,SOCIAL_MEDIA,RE: Suggestion - Case #93038,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2024-05-05,CLOSED_NO_ACTION,2024-05-16,Agent_334,CRITICAL,,62,2026-01-10 21:04:43
PMLA-FB000033-SYN,PMLA-C000193-SYN,SUGGESTION,OTHER,EMAIL,RE: Suggestion - Case #30895,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2023-06-10,ESCALATED,,Agent_822,MEDIUM,,7,2026-01-10 21:04:43
PMLA-FB000034-SYN,PMLA-C001489-SYN,INQUIRY,BRANCH_SERVICE,MAIL,RE: Inquiry - Case #70701,Synthetic feedback description for testing. Type: INQUIRY. Category: BRANCH_SERVICE.,2023-06-24,RESOLVED,2023-07-22,Agent_158,LOW,3,42,2026-01-10 21:04:43
PMLA-FB000035-SYN,PMLA-C001341-SYN,SUGGESTION,BRANCH_SERVICE,EMAIL,RE: Suggestion - Case #62953,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2024-02-24,ESCALATED,,Agent_129,LOW,,55,2026-01-10 21:04:43
PMLA-FB000036-SYN,PMLA-C000863-SYN,SUGGESTION,BRANCH_SERVICE,BRANCH,RE: Suggestion - Case #50603,Synthetic feedback description for testing. Type: SUGGESTION. Category: BRANCH_SERVICE.,2023-12-26,RESOLVED,2023-12-29,Agent_141,MEDIUM,5,68,2026-01-10 21:04:43
PMLA-FB000037-SYN,PMLA-C000217-SYN,SUGGESTION,LOAN_SERVICE,CHAT,RE: Suggestion - Case #25033,Synthetic feedback description for testing. Type: SUGGESTION. Category: CARD_SERVICE.,2023-08-06,RESOLVED,2023-08-12,Agent_967,MEDIUM,3,5,2026-01-10 21:04:43
PMLA-FB000038-SYN,PMLA-C000013-SYN,SUGGESTION,FEES_CHARGES,PHONE,RE: Suggestion - Case #33920,Synthetic feedback description for testing. Type: SUGGESTION. Category: FRAUD.,2023-08-18,PENDING,,Agent_573,MEDIUM,,17,2026-01-10 21:04:43
PMLA-FB000039-SYN,PMLA-C000913-SYN,COMPLAINT,FRAUD,PHONE,RE: Complaint - Case #22073,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2023-07-11,RESOLVED,2023-07-19,Agent_327,LOW,5,29,2026-01-10 21:04:43
PMLA-FB000040-SYN,PMLA-C000113-SYN,INQUIRY,CARD_SERVICE,EMAIL,RE: Inquiry - Case #88842,Synthetic feedback description for testing. Type: INQUIRY. Category: FEES_CHARGES.,2023-08-03,RESOLVED,2023-08-08,Agent_131,MEDIUM,1,26,2026-01-10 21:04:43
PMLA-FB000041-SYN,PMLA-C001323-SYN,COMPLAINT,FRAUD,MAIL,RE: Complaint - Case #41522,Synthetic feedback description for testing. Type: COMPLAINT. Category: FRAUD.,2024-07-19,ESCALATED,,Agent_554,LOW,,49,2026-01-10 21:04:43
PMLA-FB000042-SYN,PMLA-C001260-SYN,COMPLAINT,LOAN_SERVICE,CHAT,RE: Complaint - Case #45737,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2023-11-09,RESOLVED,2023-11-14,Agent_178,HIGH,2,26,2026-01-10 21:04:43
PMLA-FB000043-SYN,PMLA-C000972-SYN,COMPLAINT,MOBILE_APP,SOCIAL_MEDIA,RE: Complaint - Case #10933,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2023-06-09,RESOLVED,2023-07-03,Agent_741,LOW,3,45,2026-01-10 21:04:43
PMLA-FB000044-SYN,PMLA-C000556-SYN,COMPLAINT,ONLINE_BANKING,CHAT,RE: Complaint - Case #42929,Synthetic feedback description for testing. Type: COMPLAINT. Category: ACCOUNT_SERVICE.,2023-03-26,PENDING,,Agent_611,MEDIUM,,40,2026-01-10 21:04:43
PMLA-FB000045-SYN,PMLA-C000427-SYN,INQUIRY,BRANCH_SERVICE,MAIL,RE: Inquiry - Case #22021,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2024-03-18,RESOLVED,2024-03-20,Agent_650,MEDIUM,5,70,2026-01-10 21:04:43
PMLA-FB000046-SYN,PMLA-C000711-SYN,COMPLAINT,BRANCH_SERVICE,BRANCH,RE: Complaint - Case #79207,Synthetic feedback description for testing. Type: COMPLAINT. Category: CARD_SERVICE.,2024-09-16,RESOLVED,2024-10-13,Agent_968,MEDIUM,3,18,2026-01-10 21:04:43
PMLA-FB000047-SYN,PMLA-C000171-SYN,INQUIRY,ONLINE_BANKING,BRANCH,RE: Inquiry - Case #78307,Synthetic feedback description for testing. Type: INQUIRY. Category: ACCOUNT_SERVICE.,2024-05-25,PENDING,,Agent_790,CRITICAL,,67,2026-01-10 21:04:43
PMLA-FB000048-SYN,PMLA-C000049-SYN,INQUIRY,FEES_CHARGES,CHAT,RE: Inquiry - Case #75547,Synthetic feedback description for testing. Type: INQUIRY. Category: LOAN_SERVICE.,2023-10-12,RESOLVED,2023-11-02,Agent_953,LOW,4,60,2026-01-10 21:04:43
PMLA-FB000049-SYN,PMLA-C000857-SYN,COMPLAINT,OTHER,PHONE,RE: Complaint - Case #30369,Synthetic feedback description for testing. Type: COMPLAINT. Category: OTHER.,2023-01-25,ESCALATED,,Agent_488,MEDIUM,,14,2026-01-10 21:04:43
PMLA-FB000050-SYN,PMLA-C000142-SYN,SUGGESTION,CARD_SERVICE,MAIL,RE: Suggestion - Case #66543,Synthetic feedback description for testing. Type: SUGGESTION. Category: MOBILE_APP.,2023-01-01,RESOLVED,2023-01-08,Agent_361,CRITICAL,3,41,2026-01-10 21:04:43
PMLA-FB000051-SYN,PMLA-C001406-SYN,INQUIRY,CARD_SERVICE,CHAT,RE: Inquiry - Case #21235,Synthetic feedback description for testing. Type: INQUIRY. Category: BRANCH_SERVICE.,2024-02-19,RESOLVED,2024-03-11,Agent_910,MEDIUM,4,51,2026-01-10 21:04:43
PMLA-FB000052-SYN,PMLA-C000668-SYN,SUGGESTION,ONLINE_BANKING,MAIL,RE: Suggestion - Case #97673,Synthetic feedback description for testing. Type: SUGGESTION. Category: CARD_SERVICE.,2024-07-02,RESOLVED,2024-07-26,Agent_312,HIGH,3,34,2026-01-10 21:04:43
PMLA-FB000053-SYN,PMLA-C000428-SYN,COMPLAINT,BRANCH_SERVICE,SOCIAL_MEDIA,RE: Complaint - Case #16155,Synthetic feedback description for testing. Type: COMPLAINT. Category: FEES_CHARGES.,2024-02-01,RESOLVED,2024-02-02,Agent_711,MEDIUM,2,72,2026-01-10 21:04:43
PMLA-FB000054-SYN,PMLA-C000241-SYN,PRAISE,LOAN_SERVICE,CHAT,RE: Praise - Case #67956,Synthetic feedback description for testing. Type: PRAISE. Category: MOBILE_APP.,2024-11-11,PENDING,,Agent_549,HIGH,,7,2026-01-10 21:04:43
PMLA-FB000055-SYN,PMLA-C000102-SYN,DISPUTE,FEES_CHARGES,BRANCH,RE: Dispute - Case #47651,Synthetic feedback description for testing. Type: DISPUTE. Category: FRAUD.,2023-12-08,PENDING,,Agent_457,LOW,,23,2026-01-10 21:04:43
PMLA-FB000056-SYN,PMLA-C000737-SYN,INQUIRY,BRANCH_SERVICE,SOCIAL_MEDIA,RE: Inquiry - Case #25928,Synthetic feedback description for testing. Type: INQUIRY. Category: FEES_CHARGES.,2024-08-20,PENDING,,Agent_618,LOW,,61,2026-01-10 21:04:43
PMLA-FB000057-SYN,PMLA-C000772-SYN,PRAISE,CARD_SERVICE,PHONE,RE: Praise - Case #64641,Synthetic feedback description for testing. Type: PRAISE. Category: FRAUD.,2023-08-14,ESCALATED,,Agent_118,LOW,,49,2026-01-10 21:04:43
PMLA-FB000058-SYN,PMLA-C001473-SYN,SUGGESTION,FEES_CHARGES,BRANCH,RE: Suggestion - Case #63752,Synthetic feedback description for testing. Type: SUGGESTION. Category: FEES_CHARGES.,2024-10-18,RESOLVED,2024-10-23,Agent_306,HIGH,1,37,2026-01-10 21:04:43
PMLA-FB000059-SYN,PMLA-C000039-SYN,PRAISE,ACCOUNT_SERVICE,SOCIAL_MEDIA,RE: Praise - Case #53950,Synthetic feedback description for testing. Type: PRAISE. Category: ACCOUNT_SERVICE.,2024-10-17,PENDING,,Agent_402,HIGH,,44,2026-01-10 21:04:43
