loan_id,customer_id,loan_type,principal_amount,interest_rate,term_months,monthly_payment,outstanding_balance,application_date,approval_date,disbursement_date,maturity_date,status,collateral_type,credit_score_at_application,debt_to_income_ratio,late_payments_count,days_past_due,created_at
PMLA-L000000-SYN,PMLA-C001144-SYN,PERSONAL,9344.21,7.74,12,817.62,9344.21,2020-01-06,2020-01-22,2020-01-31,2021-01-16,APPROVED,NONE,634,0.45,0,0,2026-01-10 21:04:43
PMLA-L000001-SYN,PMLA-C000393-SYN,AUTO,28900.07,3.85,48,632.19,28900.07,2024-05-05,2024-05-24,2024-05-30,2028-05-03,APPROVED,SAVINGS,673,0.28,0,0,2026-01-10 21:04:43
PMLA-L000002-SYN,PMLA-C001250-SYN,STUDENT,55395.05,10.41,180,323.14,55395.05,2023-07-08,,,,REJECTED,NONE,654,0.25,0,0,2026-01-10 21:04:43
PMLA-L000003-SYN,PMLA-C000854-SYN,PERSONAL,33496.87,11.27,60,586.2,33496.87,2019-10-03,2019-10-14,2019-10-19,2024-09-17,APPROVED,NONE,768,0.44,0,0,2026-01-10 21:04:43
PMLA-L000004-SYN,PMLA-C001111-SYN,MORTGAGE,634125.14,11.96,120,5548.59,634125.14,2024-05-22,2024-06-09,2024-06-13,2034-04-18,APPROVED,VEHICLE,726,0.24,0,0,2026-01-10 21:04:43
PMLA-L000005-SYN,PMLA-C000317-SYN,AUTO,23533.07,2.5,84,294.16,0,2021-07-27,2021-07-29,2021-08-06,2028-06-22,CLOSED,SAVINGS,656,0.23,0,0,2026-01-10 21:04:43
PMLA-L000006-SYN,PMLA-C000419-SYN,AUTO,63652.55,3.11,84,795.66,20599.43,2023-09-21,2023-10-16,2023-10-19,2030-09-09,ACTIVE,PROPERTY,661,0.34,4,0,2026-01-10 21:04:43
PMLA-L000007-SYN,PMLA-C001271-SYN,PERSONAL,23706.89,5.05,48,518.59,23706.89,2023-12-18,2024-01-12,2024-01-20,2027-12-22,APPROVED,NONE,751,0.35,0,0,2026-01-10 21:04:43
PMLA-L000008-SYN,PMLA-C000467-SYN,AUTO,77576.31,4.66,36,2262.64,77576.31,2022-05-12,2022-05-24,2022-06-01,2025-05-08,APPROVED,VEHICLE,615,0.27,0,0,2026-01-10 21:04:43
PMLA-L000009-SYN,PMLA-C000884-SYN,MORTGAGE,936451.45,5.02,240,4096.98,936451.45,2022-01-31,2022-02-07,2022-02-11,2041-10-25,WRITTEN_OFF,SAVINGS,783,0.24,0,0,2026-01-10 21:04:43
